"strategy","genes","s","N","gen","n_rep","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both","drag_q95","p_both_lo","p_both_hi","gain"
"rec_drag",1,0.6,120,3,100,0,0.992866766467066,0.00867789826426913,0.974947604790419,5.25,1,1,1,5.24999999999999,0.963783307354824,1,0.0117257133133849
"rec_drag",1,0.6,160,1,90,0,0.908166999334664,0.0230315356295969,0.767207252162342,16.1666666666667,0.7,0.955555555555556,0.666666666666667,30,0.559450626987195,0.762567572559463,0.0144371928697682
"rec_drag",1,0.6,160,2,90,0,0.969078509647372,0.0171947665757448,0.913814038589488,6.55555555555556,1,1,1,10,0.959841080384225,1,0.0174536864802841
"rec_drag",1,0.6,160,3,90,0,0.995192947438456,0.00497004794614922,0.978484697272122,5,1,1,1,5,0.959841080384225,1,0.0118223329662538
"rec_drag",1,0.6,200,1,90,0,0.909331337325349,0.0206186896358381,0.776264138389887,13.4444444444444,0.688888888888889,0.988888888888889,0.688888888888889,25,0.582608477192247,0.782330467148609,0.0164074523219834
"rec_drag",1,0.6,200,2,90,0,0.972014304723886,0.0150558893407431,0.917997338656021,6,1,1,1,10,0.959841080384225,1,0.0196307469677298
"rec_drag",1,0.6,200,3,90,0,0.996174318030606,0.00364873494704479,0.980963073852295,5,1,1,1,5,0.959841080384225,1,0.0113118338743212
"rec_drag",1,0.6,250,1,90,0,0.905214570858283,0.0205909644326538,0.761560212907518,12.8333333333333,0.688888888888889,0.988888888888889,0.677777777777778,30,0.570999632569603,0.772479693711437,0.0117750117467255
"rec_drag",1,0.6,250,2,90,0,0.971398868928809,0.0153862512306241,0.914337990685296,5.55555555555556,1,1,1,10,0.959841080384225,1,0.0211561702282463
"rec_drag",1,0.6,250,3,90,0,0.996739853626081,0.00309798750156198,0.97982368596141,5,1,1,1,5,0.959841080384225,1,0.0121666925635284
"rec_drag",1,0.6,320,1,90,0,0.908915502328676,0.0231367972822822,0.771049567531603,10.8888888888889,0.688888888888889,1,0.688888888888889,20,0.582608477192247,0.782330467148609,0.0159220009288484
"rec_drag",1,0.6,320,2,90,0,0.978418163672655,0.0127866099086294,0.932443446440452,5.27777777777778,1,1,1,7.74999999999999,0.959841080384225,1,0.0259630846353375
"rec_drag",1,0.6,320,3,90,0,0.997729540918164,0.00244661684896404,0.985894876912841,5,1,1,1,5,0.959841080384225,1,0.00946317882834474
"rec_drag",1,0.6,400,1,90,0,0.907900864936793,0.0221456825829986,0.7645874916833,9.5,0.622222222222222,1,0.622222222222222,17.75,0.513825989207765,0.722335461397739,0.0144027192576724
"rec_drag",1,0.6,400,2,90,0,0.979341317365269,0.0117429203483969,0.930597139055223,5.5,1,1,1,10,0.959841080384225,1,0.0275165146726623
"rec_drag",1,0.6,400,3,90,0,0.997804391217565,0.00192326634541046,0.983632734530938,5,1,1,1,5,0.959841080384225,1,0.00915835965717382
"rec_drag",2,0.6,20,1,300,0,0.896609281437126,0.0235658879608032,0.747761976047904,130.841666666667,0.46,0.04,0.0266666666666667,212.625,0.0115815677543339,0.051865811960931,0.00917875855431993
"rec_drag",2,0.6,20,2,300,0.0033333333333333,0.942172511164961,0.017057209907588,0.867217070874972,74.2140468227425,0.993333333333333,0.33,0.326666666666667,120,0.273875534895732,0.382922292908096,0.00357162454109864
"rec_drag",2,0.6,20,3,300,0.00666666666666671,0.968218763814653,0.0125642501983291,0.930577603182896,50.7046979865772,0.993333333333333,0.71,0.71,90.3749999999999,0.65508391075449,0.76071332550029,0.00346658672109281
"rec_drag",2,0.6,40,1,300,0,0.898710079840319,0.022483594809967,0.753872255489022,107.116666666667,0.503333333333333,0.0366666666666667,0.0233333333333333,165.125,0.00943150206179464,0.0474825650297819,0.0103398754335319
"rec_drag",2,0.6,40,2,300,0,0.945808383233533,0.0188113966802635,0.874426147704591,56.45,0.976666666666667,0.606666666666667,0.603333333333333,90,0.545511256734127,0.659093312001432,0.0050386424082763
"rec_drag",2,0.6,40,3,300,0,0.971409680638723,0.0134398711656169,0.936501996007984,34.55,1,0.973333333333333,0.973333333333333,60,0.948134188039069,0.988418432245666,0.00454136224658967
"rec_drag",2,0.6,60,1,200,0,0.897249251497006,0.0226621286055623,0.749491017964072,97.95,0.505,0.065,0.05,140,0.0242341654721085,0.0900275377013514,0.00993940965709057
"rec_drag",2,0.6,60,2,200,0,0.948061377245509,0.0184841914229752,0.876755239520958,50.875,0.995,0.73,0.725,77.5,0.65757458137625,0.785622584756905,0.00767708397586396
"rec_drag",2,0.6,60,3,200,0,0.973345808383233,0.0125297477381441,0.93876871257485,28.5375,1,0.985,0.985,52.625,0.956791718082287,0.996895892378446,0.00537021904174114
"rec_drag",2,0.6,80,1,150,0,0.900074850299401,0.0232606044334061,0.755249500998004,84.9166666666667,0.513333333333333,0.153333333333333,0.0866666666666667,122.5,0.0469552202394472,0.143642723283387,0.0126792464909894
"rec_drag",2,0.6,80,2,150,0,0.949021956087824,0.0179127475725888,0.876427145708583,43.1,0.986666666666667,0.826666666666667,0.813333333333333,72.5,0.741640927146537,0.872231734401109,0.00712337479821463
"rec_drag",2,0.6,80,3,150,0,0.974006986027944,0.0125443183346535,0.93934630738523,24.05,1,1,1,40,0.975707402833891,1,0.00503355161953757
"rec_drag",2,0.6,100,1,120,0,0.897398952095808,0.0224032769323904,0.750929391217565,77.9583333333333,0.416666666666667,0.175,0.0666666666666667,105,0.0292191843137964,0.127136748239213,0.00950222772730002
"rec_drag",2,0.6,100,2,120,0,0.949326347305389,0.0194936131891219,0.878025199600798,37.9791666666667,0.983333333333333,0.941666666666667,0.925,62.5,0.862398942109633,0.965132609388038,0.0082204593805207
"rec_drag",2,0.6,100,3,120,0,0.977869261477046,0.0121813581492931,0.947186876247505,21,1,1,1,35,0.96972702742258,1,0.00807055167590617
"rec_drag",2,0.6,120,1,100,0,0.899333832335329,0.0231283510223983,0.754468562874251,77.95,0.5,0.16,0.11,110,0.0562070202854875,0.188301132196443,0.0112024401272607
"rec_drag",2,0.6,120,2,100,0,0.949116766467066,0.0206586442836412,0.880755988023952,34.85,0.98,0.96,0.94,60,0.873970065419177,0.977665113928684,0.00672208480265177
"rec_drag",2,0.6,120,3,100,0,0.977866766467066,0.0118917597100992,0.948697604790419,19.2,1,1,1,35,0.963783307354824,1,0.00834322422697133
