"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","max_use","seed"
10,9.48820356665946,0.231874583333333,0.236732,0.235876318055556,0.0169653942168103,0.768125416666667,0.30987765529685,0.312853996801635,0.133623472222222,0.231874583333333,0.895620833333333,0.907876944444444,0.650935367000072,6,"6",1
11,9.85862828446037,0.228863055555556,0.2306432,0.229893722222222,0.00448323101955088,0.771136944444444,0.318365330630747,0.324556109118871,0.138707777777778,0.228863055555556,0.905566944444445,0.9141225,0.648393263482167,6,"6",1
12,10.2153613540233,0.225907916666667,0.2278316,0.227150836458333,0.00547178170701862,0.774092083333333,0.326664007996678,0.338547434235886,0.144366527777778,0.225907916666667,0.9119,0.925017222222222,0.645917986716697,6,"6",1
13,10.5555131360697,0.222425763888889,0.2242,0.223606684722222,0.00528124118829601,0.777574236111111,0.334416911275101,0.355053026459939,0.148358958333333,0.222425763888889,0.921886666666667,0.929979722222222,0.64302542031312,6,"6",1
14,11.0571706551936,0.217042916666667,0.2201012,0.219585335069444,0.0115782704795553,0.782957083333333,0.347033610335831,0.372984081064217,0.153077638888889,0.217042916666667,0.935178888888889,0.936890555555556,0.63860460636146,6,"6",1
15,11.288651163735,0.212813125,0.2153652,0.214876010416667,0.00960035237375492,0.787186875,0.359518673333928,0.382532695771241,0.155334375,0.212813125,0.941910555555556,0.943131944444444,0.635173191880264,6,"6",1
0,1.29056184268919,0.319305694444444,0.327496,0.325230071875,0.0182159583103759,0.680694305555556,0.0262067895091426,0.0238471835590975,0.0396118055555554,0.319305694444444,0.722994166666667,0.717618055555555,0.734544120494618,6,"6",2
1,2.58279552395779,0.309552777777778,0.3169344,0.314991526736111,0.0172663341604415,0.690447222222222,0.0582948609115628,0.0521372117249264,0.0509880555555556,0.309552777777778,0.746192222222222,0.736678333333333,0.724168312808526,6,"6",2
2,3.36421144152499,0.297418888888889,0.3042964,0.302434388541667,0.0165837611157991,0.702581111111111,0.0900765621990232,0.0929697400803473,0.0611127777777778,0.297418888888889,0.768681111111111,0.758706666666667,0.711661603326148,6,"6",2
3,4.27702826860825,0.287125763888889,0.2909812,0.289295525347222,0.00750015561329228,0.712874236111111,0.116910642566857,0.127160399471568,0.0701809027777777,0.287125763888889,0.785612777777778,0.7804975,0.701385987418499,6,"6",2
4,5.32948131933171,0.274412083333333,0.2801496,0.278522176736111,0.0147567904679703,0.725587916666667,0.154134103671461,0.164466610597176,0.0814704166666665,0.274412083333333,0.811471666666667,0.802645,0.68909637070169,6,"6",2
5,6.09208909412999,0.266572777777778,0.2732048,0.271680642361111,0.0188009883182774,0.733427222222222,0.177143593845127,0.187087253790485,0.0889277777777778,0.266572777777778,0.825852222222222,0.818857777777778,0.68173089960452,6,"6",2
6,6.88903769417105,0.258355555555556,0.2624616,0.261261211458333,0.0111216505755243,0.741644444444444,0.205045446239293,0.221587072712815,0.0998097222222222,0.258355555555555,0.841113611111111,0.841794722222222,0.674177503445796,6,"6",2
7,7.78888109282184,0.251395277777778,0.2571604,0.255856390277778,0.0174360018725999,0.748604722222222,0.220883454550104,0.255834517012997,0.107128611111111,0.251395277777778,0.8596875,0.851779166666667,0.667909225199325,6,"6",2
8,8.6254708938617,0.243980694444444,0.249864,0.248802425694444,0.019379759809583,0.756019305555556,0.244007436690162,0.277114679459318,0.112710138888889,0.243980694444444,0.873498888888889,0.86396,0.661358772620996,6,"6",2
9,9.16164406395479,0.237546805555556,0.2426364,0.241608830555556,0.0168124028855229,0.762453194444444,0.260658259456587,0.300850134265999,0.11751875,0.237546805555555,0.883857777777778,0.876086111111111,0.65577795941208,6,"6",2
10,9.89793982465536,0.231196736111111,0.2357328,0.234770486458333,0.0152223152114841,0.768803263888889,0.282887155235036,0.31842336843811,0.122394375,0.231196736111111,0.892929444444445,0.889465833333333,0.650361442888284,6,"6",2
11,10.5192566999781,0.222899236111111,0.2281632,0.227384284375,0.0197245305506349,0.777100763888889,0.302568625241395,0.345417060737741,0.129281319444444,0.222899236111111,0.906198611111111,0.906565555555556,0.643417203063631,6,"6",2
12,10.7889767392107,0.219719166666667,0.22406,0.223367897569444,0.0163350729557876,0.780280833333333,0.315375582086321,0.361593974989265,0.135222222222222,0.219719166666667,0.913474722222222,0.917531388888889,0.640794927467354,6,"6",2
13,11.1800532030144,0.213082777777778,0.217868,0.217310572916667,0.0194550825675205,0.786917222222222,0.33504002371187,0.382346057486339,0.140542777777778,0.213082777777778,0.9222925,0.9326275,0.635390846559464,6,"6",2
14,11.5285947223706,0.211279444444444,0.2123448,0.211778102777778,0.00235462650195034,0.788720555555556,0.343155178473514,0.390185942999413,0.143212222222222,0.211279444444444,0.927269444444444,0.936596111111111,0.633938086788942,6,"6",2
15,11.9713275337186,0.208772638888889,0.2104612,0.210026093402778,0.00596808945774707,0.791227361111111,0.351590543500309,0.396335895811232,0.144588472222222,0.208772638888889,0.933974166666667,0.9376575,0.631929612871142,6,"6",2
0,1.32360495497548,0.328296388888889,0.3345224,0.332128914583333,0.0115392714279407,0.671703611111111,0.0189564404691767,0.0252570008721449,0.0436766666666666,0.328296388888889,0.715954444444444,0.714806111111111,0.74437592969452,6,"6",3
1,2.7571669050685,0.314217430555556,0.3222188,0.320219425347222,0.0187433813084844,0.685782569444444,0.0551738276981067,0.0736967220437003,0.0568384027777777,0.314217430555556,0.741267777777778,0.743974166666667,0.729094063159191,6,"6",3
2,3.86084799645611,0.302170694444444,0.308038,0.306188097569444,0.0131207031131863,0.697829305555556,0.095395827338471,0.106749774123592,0.0684768055555555,0.302170694444444,0.764885277777778,0.767726944444445,0.716507598662599,6,"6",3
3,4.63165691271373,0.290483263888889,0.2957756,0.293843048263889,0.0114339420137744,0.709516736111111,0.135965821399257,0.139636116976013,0.0794614583333334,0.290483263888889,0.794170555555555,0.783785833333333,0.704705011950133,6,"6",3
4,5.51248173379476,0.276640694444445,0.283818,0.282160646527778,0.0195631536547031,0.723359305555555,0.176997651939769,0.179304138353901,0.0921412500000001,0.276640694444444,0.829338333333333,0.801662777777778,0.691219420500838,6,"6",3
5,6.33620609316623,0.269411875,0.275246,0.273922592361111,0.0164671242420365,0.730588125,0.198979007078934,0.199876419982875,0.0991134027777778,0.269411875,0.840934166666667,0.818468888888889,0.684380135524376,6,"6",3
6,7.09238850388668,0.260831597222222,0.2671516,0.265883955902778,0.0190021194148434,0.739168402777778,0.232092643095902,0.222645533576486,0.109740902777778,0.260831597222222,0.863916666666667,0.833901944444444,0.676435840765124,6,"6",3
7,7.75825953769649,0.257059236111111,0.25823,0.257128037152778,0.000267575027711748,0.742940763888889,0.236797113818472,0.241213500115406,0.115718541666667,0.257059236111111,0.868570833333333,0.848747777777778,0.673001165507157,6,"6",3
8,8.52246721389341,0.249351388888889,0.2545596,0.253510904861111,0.0164076412196197,0.750648611111111,0.258963573513856,0.266859417252879,0.119422222222222,0.249351388888889,0.880027777777778,0.860113888888889,0.666090621629073,6,"6",3
9,9.18705968752572,0.239673888888889,0.2441888,0.243273359375,0.0147959912065943,0.760326111111111,0.282766225451737,0.295033795738913,0.12563,0.239673888888889,0.894705555555556,0.877206666666667,0.65761255952307,6,"6",3
10,9.58266289866893,0.234373333333333,0.2350068,0.234133425347222,-0.00102466354710058,0.765626666666667,0.294453691496275,0.313171054160532,0.13027,0.234373333333333,0.90443,0.887363333333333,0.653059802863014,6,"6",3
