"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","budget","seed"
12,7.79823340575247,0.189649375,0.190722,0.190624614236111,0.0051160194606513,0.810350625,0.431039064217306,0.447900595236461,0.176518125,0.189649375,0.986150555555556,0.987586944444445,0.617016862299576,24,"unconstrained",5
13,7.85386439236594,0.187813333333333,0.1895528,0.189438335416667,0.00857800022238954,0.812186666666667,0.435502483259154,0.45414588487124,0.177747222222222,0.187813333333333,0.987844444444444,0.992023333333333,0.615622024493548,15,"unconstrained",5
14,7.87726146303984,0.186684513888889,0.1878484,0.187775164930556,0.00580828163335683,0.813315486111111,0.435562636489222,0.460569696002369,0.178567152777778,0.186684513888889,0.988758055555556,0.995007222222222,0.614767588393973,19,"unconstrained",5
15,7.87726146303984,0.186147638888889,0.1865936,0.186543578472222,0.00212250449238768,0.813852361111111,0.438221590360926,0.461385506773988,0.17929125,0.186147638888889,0.989551111111111,0.996736111111111,0.614362043893779,25,"unconstrained",5
0,1.37497044777657,0.320049097222222,0.3280928,0.325827530902778,0.0177346391342228,0.679950902777778,0.0256536788564564,0.0312024654653885,0.0435017361111112,0.320049097222222,0.718329166666667,0.728576111111111,0.735347211037398,12,"0.020",1
1,2.9923922672759,0.308317222222222,0.3166112,0.314447460763889,0.019495271250639,0.691682777777778,0.0538961314461747,0.0773234323166305,0.0591719444444444,0.308317222222222,0.748241944444445,0.7534675,0.722874728219182,14,"0.020",1
2,4.0649280124585,0.298700138888889,0.3060416,0.304229691666667,0.0181755855172621,0.701299861111111,0.0786788677509119,0.116246429345727,0.0707306944444445,0.298700138888889,0.784456944444444,0.759604166666667,0.71296178386207,15,"0.020",1
3,4.83034405921582,0.290692569444444,0.2957268,0.294061714930556,0.0114572734737222,0.709307430555556,0.101423844284131,0.145155592020274,0.0786815972222223,0.290692569444444,0.793089166666667,0.782888888888889,0.704912959403769,11,"0.020",1
4,5.98339839626417,0.282111805555556,0.289556,0.287728762152778,0.0195217070243387,0.717888194444444,0.127593580282937,0.186344585394867,0.091940138888889,0.282111805555556,0.812878055555556,0.806778611111111,0.696487285721334,14,"0.020",1
5,6.5927015658925,0.275843611111111,0.2790964,0.277689403125,0.00664696597391594,0.724156388888889,0.140196540197391,0.217956010853862,0.101783611111111,0.275843611111111,0.833414166666667,0.818465833333333,0.690458591088558,12,"0.020",1
