"set","sigma_DH","MRD","n_seg"
"inter-pool (A x B)",5.05410179872642,0.604359164735673,1461
"inter-pool (A x B)",5.07399270605762,0.61461369981477,1511
"inter-pool (A x B)",4.92002263607236,0.618061485614498,1528
"inter-pool (A x B)",5.32951585354593,0.60518592184551,1465
"inter-pool (A x B)",5.04283340467442,0.618869937870632,1532
"inter-pool (A x B)",4.78467177164331,0.6200806399171,1538
"inter-pool (A x B)",5.04901364768702,0.600832755431992,1444
"inter-pool (A x B)",5.07138231107399,0.611759756767311,1497
"inter-pool (A x B)",4.44650948014403,0.61400325732035,1508
"inter-pool (A x B)",5.19770844353429,0.611555394056826,1496
"inter-pool (A x B)",4.63796501522716,0.601664358259653,1448
"inter-pool (A x B)",4.75559145504315,0.604359164735673,1461
"inter-pool (A x B)",4.6284658606356,0.616846820531645,1522
"inter-pool (A x B)",4.6290222702289,0.609918027279076,1488
"inter-pool (A x B)",5.5645853538346,0.601456565347823,1447
"inter-pool (A x B)",4.2849263282173,0.62509999200128,1563
"inter-pool (A x B)",5.17545500735724,0.607865116617165,1478
"inter-pool (A x B)",4.87097705147517,0.60559887714559,1467
"inter-pool (A x B)",5.3897848333817,0.608276253029822,1480
"inter-pool (A x B)",4.94555880350131,0.605805249234438,1468
"inter-pool (A x B)",5.11863631365878,0.605598877145591,1467
"inter-pool (A x B)",5.25434285693905,0.612780547994141,1502
"inter-pool (A x B)",5.48431154889756,0.610327780786685,1490
"inter-pool (A x B)",4.79597641553809,0.604565960007673,1462
"within-pool (A x A)",4.60845200372618,0.559687412758229,1253
"within-pool (A x A)",4.63492935725953,0.570745127005041,1303
"within-pool (A x A)",4.82302886796974,0.558569601750758,1248
"within-pool (A x A)",4.36980714830647,0.561471281545192,1261
"within-pool (A x A)",5.06887094482236,0.565464410904878,1279
"within-pool (A x A)",4.90298127894181,0.560580056726958,1257
"within-pool (A x A)",4.72838884971944,0.565685424949238,1280
"within-pool (A x A)",4.23372007725922,0.570526073023837,1302
"within-pool (A x A)",4.47628229958692,0.562583327161408,1266
"within-pool (A x A)",4.63852596120713,0.563249500665558,1269
"within-pool (A x A)",4.78287491685814,0.566127194188727,1282
"within-pool (A x A)",4.54221741051036,0.557673739743948,1244
"within-pool (A x A)",4.49879495430194,0.557673739743948,1244
"within-pool (A x A)",4.53405947010877,0.555427763079952,1234
"within-pool (A x A)",4.68196111239521,0.556102508535972,1237
"within-pool (A x A)",4.37061822288415,0.570964096944808,1304
"within-pool (A x A)",4.7942190067699,0.559016994374947,1250
"within-pool (A x A)",4.51314187771921,0.565685424949238,1280
"within-pool (A x A)",4.26735650909348,0.559687412758229,1253
"within-pool (A x A)",4.56720903439533,0.563471383479232,1270
"within-pool (A x A)",4.93637402587868,0.562138772902208,1264
"within-pool (A x A)",4.17086902270113,0.562138772902208,1264
"within-pool (A x A)",4.69801386683619,0.568990333837052,1295
"within-pool (A x A)",4.21546293541156,0.561693866799345,1262
