"strategy","theta","gene_diversity","loss_pct","status_number","Ne_parents","n_lines_used","He_Nei","alleles_retained","alleles_lost_MAF","alleles_fixed","E_NE","A_NE","eff_dim","theta_within_A","theta_within_B","theta_between","mean_index"
"random",0.667959583333333,0.332040416666667,0.206628737166258,0.748548284171385,47.3684210526316,64,0.332040416666667,11836,107,164,0.262902777777778,0.259255052083333,1.49226192808844,0.701553425925926,0.702597685185185,0.633843611111111,0.125308668863848
"random",0.667278981481482,0.332721018518518,0.00207667098750682,0.749311777946172,51.7985611510791,64,0.332721018518518,11828,90,172,0.261740277777778,0.259393072916667,1.49696812944181,0.700481388888889,0.701180277777778,0.63372712962963,0.158843041461054
"random",0.666464375,0.333535625,-0.242749931314978,0.750227647201698,47.3684210526316,64,0.333535625,11841,94,159,0.264048611111111,0.259777864583333,1.49796210047697,0.699810185185185,0.700596388888889,0.632725462962963,-0.0216165748842589
"random",0.666837291666667,0.333162708333333,-0.13067137250468,0.749808095990432,48.9795918367347,60,0.333162708333333,11816,115,184,0.261647222222222,0.261318802083333,1.49685825555202,0.700913425925926,0.700880555555555,0.632777592592592,-0.00336739457766683
"random",0.668852685185185,0.331147314814815,0.475046797750886,0.747548766828326,47.682119205298,61,0.331147314814815,11820,120,180,0.259545833333333,0.260248697916667,1.49260100160479,0.703608425925926,0.701798981481481,0.635001666666666,-0.0507591549504419
"random",0.666636134259259,0.333363865740741,-0.191128397710238,0.75003435053154,50.7042253521127,66,0.333363865740741,11819,86,181,0.263420833333333,0.25904765625,1.49877524571661,0.698970277777778,0.701590555555556,0.632991851851852,-0.182700366939671
"random",0.667090925925926,0.332909074074074,-0.0544426469377475,0.749523011883271,50.3496503496503,62,0.332909074074074,11826,112,174,0.261963888888889,0.26038109375,1.49685946575074,0.700829537037037,0.701329722222222,0.633102222222222,0.0794806053403073
"random",0.666977106481482,0.333022893518518,-0.0886506093008174,0.749650917761871,47.3684210526316,62,0.333022893518518,11818,90,182,0.266079166666667,0.260719583333333,1.49572850278268,0.701625648148148,0.700827222222222,0.632727777777778,0.111180557538674
"random",0.668438657407408,0.331561342592592,0.350612464859508,0.748011795037842,45.5696202531646,60,0.331561342592593,11824,123,176,0.259341666666667,0.261189739583333,1.49142704761473,0.703210740740741,0.702060925925926,0.634241481481481,0.0224536225587068
"random",0.668116203703704,0.331883796296296,0.253700340450568,0.748372808844104,47.0588235294118,63,0.331883796296296,11833,115,167,0.262720833333333,0.259541822916667,1.49442387059138,0.701113333333333,0.703550925925926,0.633900277777778,-0.192269548453059
"random",0.667035208333333,0.332964791666667,-0.0711883384992514,0.74958561969961,46.7532467532468,62,0.332964791666667,11830,116,170,0.268626388888889,0.2604921875,1.49480581364543,0.70131787037037,0.70193,0.632446481481481,-0.023387037965121
"random",0.667160231481482,0.332839768518518,-0.0336131494157838,0.74944515036472,49.3150684931507,63,0.332839768518519,11823,98,177,0.261026388888889,0.260235625,1.49570275947908,0.701516666666667,0.700581666666667,0.633271296296296,0.0176459348569493
"random",0.667761666666667,0.332238333333333,0.147145703160763,0.748770145036777,48,61,0.332238333333333,11824,95,176,0.261572222222222,0.260496666666667,1.49475416979992,0.701943240740741,0.70078287037037,0.634160277777778,0.26657707938938
"random",0.666823842592593,0.333176157407407,-0.134713435985086,0.749823218761966,52.1739130434783,64,0.333176157407407,11838,92,162,0.264716666666667,0.25952078125,1.49727769514766,0.70147037037037,0.699229444444444,0.633297777777778,-0.202903593961312
"random",0.668082268518518,0.331917731481482,0.243501261169582,0.748410822380838,45.5696202531646,58,0.331917731481481,11815,122,185,0.260323611111111,0.262164114583333,1.49265648452901,0.702439537037037,0.702405648148148,0.633741944444444,0.0661895755695129
"random",0.667296435185185,0.332703564814815,0.00732230930793894,0.749292179061682,49.6551724137931,62,0.332703564814815,11819,94,181,0.263119444444444,0.260185416666667,1.49656429189265,0.70132787037037,0.700371018518519,0.633743425925926,-0.00235597196880476
"random",0.66785,0.33215,0.173693920443239,0.748671108781912,50.7042253521127,64,0.33215,11827,117,173,0.262202777777778,0.25910578125,1.49593505117999,0.699363055555556,0.703019166666667,0.634508888888889,-0.015090649865536
"random",0.666443773148148,0.333556226851852,-0.248941732515536,0.750250839073939,51.063829787234,64,0.333556226851852,11828,92,172,0.262816666666667,0.2599603125,1.4978243739387,0.701367962962963,0.699490092592593,0.632458518518519,-0.0489341301860832
